candidate_id,Category
0,Data Science
1,Data Science
2,Data Science
3,Data Science
4,Data Science
5,Data Science
6,Data Science
7,Data Science
8,Data Science
9,Data Science
10,Data Science
11,Data Science
12,Data Science
13,Data Science
14,Data Science
15,Data Science
16,Data Science
17,Data Science
18,Data Science
19,Data Science
20,Data Science
21,Data Science
22,Data Science
23,Data Science
24,Data Science
25,Data Science
26,Data Science
27,Data Science
28,Data Science
29,Data Science
30,Data Science
31,Data Science
32,Data Science
33,Data Science
34,Data Science
35,Data Science
36,Data Science
37,Data Science
38,Data Science
39,Data Science
40,HR
41,HR
42,HR
43,HR
44,HR
45,HR
46,HR
47,HR
48,HR
49,HR
50,HR
51,HR
52,HR
53,HR
54,HR
55,HR
56,HR
57,HR
58,HR
59,HR
60,HR
61,HR
62,HR
63,HR
64,HR
65,HR
66,HR
67,HR
68,HR
69,HR
70,HR
71,HR
72,HR
73,HR
74,HR
75,HR
76,HR
77,HR
78,HR
79,HR
80,HR
81,HR
82,HR
83,HR
84,Advocate
85,Advocate
86,Advocate
87,Advocate
88,Advocate
89,Advocate
90,Advocate
91,Advocate
92,Advocate
93,Advocate
94,Advocate
95,Advocate
96,Advocate
97,Advocate
98,Advocate
99,Advocate
100,Advocate
101,Advocate
102,Advocate
103,Advocate
104,Arts
105,Arts
106,Arts
107,Arts
108,Arts
109,Arts
110,Arts
111,Arts
112,Arts
113,Arts
114,Arts
115,Arts
116,Arts
117,Arts
118,Arts
119,Arts
120,Arts
121,Arts
122,Arts
123,Arts
124,Arts
125,Arts
126,Arts
127,Arts
128,Arts
129,Arts
130,Arts
131,Arts
132,Arts
133,Arts
134,Arts
135,Arts
136,Arts
137,Arts
138,Arts
139,Arts
140,Web Designing
141,Web Designing
142,Web Designing
143,Web Designing
144,Web Designing
145,Web Designing
146,Web Designing
147,Web Designing
148,Web Designing
149,Web Designing
150,Web Designing
151,Web Designing
152,Web Designing
153,Web Designing
154,Web Designing
155,Web Designing
156,Web Designing
157,Web Designing
158,Web Designing
159,Web Designing
160,Web Designing
161,Web Designing
162,Web Designing
163,Web Designing
164,Web Designing
165,Web Designing
166,Web Designing
167,Web Designing
168,Web Designing
169,Web Designing
170,Web Designing
171,Web Designing
172,Web Designing
173,Web Designing
174,Web Designing
175,Web Designing
176,Web Designing
177,Web Designing
178,Web Designing
179,Web Designing
180,Web Designing
181,Web Designing
182,Web Designing
183,Web Designing
184,Web Designing
185,Mechanical Engineer
186,Mechanical Engineer
187,Mechanical Engineer
188,Mechanical Engineer
189,Mechanical Engineer
190,Mechanical Engineer
191,Mechanical Engineer
192,Mechanical Engineer
193,Mechanical Engineer
194,Mechanical Engineer
195,Mechanical Engineer
196,Mechanical Engineer
197,Mechanical Engineer
198,Mechanical Engineer
199,Mechanical Engineer
200,Mechanical Engineer
201,Mechanical Engineer
202,Mechanical Engineer
203,Mechanical Engineer
204,Mechanical Engineer
205,Mechanical Engineer
206,Mechanical Engineer
207,Mechanical Engineer
208,Mechanical Engineer
209,Mechanical Engineer
210,Mechanical Engineer
211,Mechanical Engineer
212,Mechanical Engineer
213,Mechanical Engineer
214,Mechanical Engineer
215,Mechanical Engineer
216,Mechanical Engineer
217,Mechanical Engineer
218,Mechanical Engineer
219,Mechanical Engineer
220,Mechanical Engineer
221,Mechanical Engineer
222,Mechanical Engineer
223,Mechanical Engineer
224,Mechanical Engineer
225,Sales
226,Sales
227,Sales
228,Sales
229,Sales
230,Sales
231,Sales
232,Sales
233,Sales
234,Sales
235,Sales
236,Sales
237,Sales
238,Sales
239,Sales
240,Sales
241,Sales
242,Sales
243,Sales
244,Sales
245,Sales
246,Sales
247,Sales
248,Sales
249,Sales
250,Sales
251,Sales
252,Sales
253,Sales
254,Sales
255,Sales
256,Sales
257,Sales
258,Sales
259,Sales
260,Sales
261,Sales
262,Sales
263,Sales
264,Sales
265,Health and fitness
266,Health and fitness
267,Health and fitness
268,Health and fitness
269,Health and fitness
270,Health and fitness
271,Health and fitness
272,Health and fitness
273,Health and fitness
274,Health and fitness
275,Health and fitness
276,Health and fitness
277,Health and fitness
278,Health and fitness
279,Health and fitness
280,Health and fitness
281,Health and fitness
282,Health and fitness
283,Health and fitness
284,Health and fitness
285,Health and fitness
286,Health and fitness
287,Health and fitness
288,Health and fitness
289,Health and fitness
290,Health and fitness
291,Health and fitness
292,Health and fitness
293,Health and fitness
294,Health and fitness
295,Civil Engineer
296,Civil Engineer
297,Civil Engineer
298,Civil Engineer
299,Civil Engineer
300,Civil Engineer
301,Civil Engineer
302,Civil Engineer
303,Civil Engineer
304,Civil Engineer
305,Civil Engineer
306,Civil Engineer
307,Civil Engineer
308,Civil Engineer
