candidate_id,skillUri
0,http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576
0,http://data.europa.eu/esco/skill/c5e8abde-d2ba-4e8e-a65e-720b71180666
0,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43
0,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b
0,http://data.europa.eu/esco/skill/7b0d5000-00da-4864-b776-6de49a87a669
0,http://data.europa.eu/esco/skill/ecc4552a-92c5-4222-b18d-faf5ac841080
0,http://data.europa.eu/esco/skill/e5d1f825-60ed-4bdd-872a-e748c387f777
0,http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742
0,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01
0,http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7
0,http://data.europa.eu/esco/skill/1ffac4ac-fda7-407d-8ed1-ca8f4a8dc146
0,http://data.europa.eu/esco/skill/4da171e5-779c-4983-a76f-91c16751e99f
0,http://data.europa.eu/esco/skill/fff0e2cd-d0bd-4b02-9daf-158b79d9688a
1,http://data.europa.eu/esco/skill/26fa7a33-a426-4cd5-9792-33bf668612e1
1,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43
2,http://data.europa.eu/esco/skill/c3a03c5a-c260-4c26-9b9a-873abb396f4d
2,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43
2,http://data.europa.eu/esco/skill/f9a6f35b-01a7-40c9-8b61-b6ee46f97272
2,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08
2,http://data.europa.eu/esco/skill/26fa7a33-a426-4cd5-9792-33bf668612e1
2,http://data.europa.eu/esco/skill/3e40c7d0-0e36-4b33-bc33-0aa87eda0561
2,http://data.europa.eu/esco/skill/ecc4552a-92c5-4222-b18d-faf5ac841080
2,http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742
2,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01
2,http://data.europa.eu/esco/skill/625b57ee-29d4-425b-bf99-9fd54dd021fe
2,http://data.europa.eu/esco/skill/4339176e-3acd-4f7f-a5d9-445bee3d23f2
2,http://data.europa.eu/esco/skill/4da171e5-779c-4983-a76f-91c16751e99f
2,http://data.europa.eu/esco/skill/fae27053-8924-4bfd-b565-c9fe502044c9
3,http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576
3,http://data.europa.eu/esco/skill/a1eef0f4-133f-464a-a8f1-68fe3e8cc1b4
3,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b
3,http://data.europa.eu/esco/skill/fecf8a0d-62c4-4e71-9b03-0f4fc2ad7bf5
3,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7
3,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43
3,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08
3,http://data.europa.eu/esco/skill/055192dc-f16c-4855-835d-19cac6ff20aa
3,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0
3,http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742
3,http://data.europa.eu/esco/skill/ecc4552a-92c5-4222-b18d-faf5ac841080
3,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01
3,http://data.europa.eu/esco/skill/98a1dec3-8138-4f46-a596-5e2a83b884b9
3,http://data.europa.eu/esco/skill/0d6714c6-720e-4985-9791-5ab85d28da79
3,http://data.europa.eu/esco/skill/c062bab3-3ea0-4291-9220-a2d8fef4bead
3,http://data.europa.eu/esco/skill/136e0cab-0b19-48f7-9086-745d615f416b
3,http://data.europa.eu/esco/skill/54924a2c-daca-40d3-9716-4b38ceb04f38
3,http://data.europa.eu/esco/skill/26fa7a33-a426-4cd5-9792-33bf668612e1
4,http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576
4,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01
4,http://data.europa.eu/esco/skill/26fa7a33-a426-4cd5-9792-33bf668612e1
5,http://data.europa.eu/esco/skill/c3a03c5a-c260-4c26-9b9a-873abb396f4d
5,http://data.europa.eu/esco/skill/26fa7a33-a426-4cd5-9792-33bf668612e1
5,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43
5,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01
6,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b
6,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43
6,http://data.europa.eu/esco/skill/7b5cce4d-c7fe-4119-b48f-70aa05391787
6,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01
6,http://data.europa.eu/esco/skill/e87ec79a-c9ff-46f5-84fa-7a0f394cdf40
6,http://data.europa.eu/esco/skill/7ee4c2ea-b349-4bd2-81a3-ec31475d4833
7,http://data.europa.eu/esco/skill/c5e8abde-d2ba-4e8e-a65e-720b71180666
7,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7
7,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43
7,http://data.europa.eu/esco/skill/f9a6f35b-01a7-40c9-8b61-b6ee46f97272
7,http://data.europa.eu/esco/skill/1e38f5be-bb7d-42c5-8301-c16cf400f8ee
7,http://data.europa.eu/esco/skill/26fa7a33-a426-4cd5-9792-33bf668612e1
7,http://data.europa.eu/esco/skill/61bef658-d7f9-4759-b1b0-0f9cb3bc581a
7,http://data.europa.eu/esco/skill/6d3edede-8951-4621-a835-e04323300fa0
7,http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742
7,http://data.europa.eu/esco/skill/ecc4552a-92c5-4222-b18d-faf5ac841080
7,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01
7,http://data.europa.eu/esco/skill/7b5cce4d-c7fe-4119-b48f-70aa05391787
7,http://data.europa.eu/esco/skill/d93a7370-bf56-43f5-be54-e108f8ec3107
7,http://data.europa.eu/esco/skill/54924a2c-daca-40d3-9716-4b38ceb04f38
7,http://data.europa.eu/esco/skill/4da171e5-779c-4983-a76f-91c16751e99f
7,http://data.europa.eu/esco/skill/fff0e2cd-d0bd-4b02-9daf-158b79d9688a
8,http://data.europa.eu/esco/skill/fecf8a0d-62c4-4e71-9b03-0f4fc2ad7bf5
8,http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5
8,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43
8,http://data.europa.eu/esco/skill/1e38f5be-bb7d-42c5-8301-c16cf400f8ee
8,http://data.europa.eu/esco/skill/26fa7a33-a426-4cd5-9792-33bf668612e1
8,http://data.europa.eu/esco/skill/ecc4552a-92c5-4222-b18d-faf5ac841080
8,http://data.europa.eu/esco/skill/e5d1f825-60ed-4bdd-872a-e748c387f777
8,http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742
8,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01
8,http://data.europa.eu/esco/skill/7b5cce4d-c7fe-4119-b48f-70aa05391787
8,http://data.europa.eu/esco/skill/54924a2c-daca-40d3-9716-4b38ceb04f38
8,http://data.europa.eu/esco/skill/4da171e5-779c-4983-a76f-91c16751e99f
9,http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576
9,http://data.europa.eu/esco/skill/51586df8-1c46-4b47-8583-773cb63bf00b
9,http://data.europa.eu/esco/skill/15d76317-c71a-4fa2-aadc-2ecc34e627b7
9,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43
9,http://data.europa.eu/esco/skill/af7ae54f-4649-4c16-87c7-59ba41d4d57f
9,http://data.europa.eu/esco/skill/25f0ea33-b4a2-4f31-b7b4-7d20e827b180
9,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08
9,http://data.europa.eu/esco/skill/143769cb-b61e-47d8-a61e-eedfbec1016c
9,http://data.europa.eu/esco/skill/949ced5f-7536-4614-ac60-563ffc91a2f2
9,http://data.europa.eu/esco/skill/541cdc23-1eec-4520-81fc-3392eaf538ed
9,http://data.europa.eu/esco/skill/e46291c7-52b9-4174-bd59-178884861038
9,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01
9,http://data.europa.eu/esco/skill/98a1dec3-8138-4f46-a596-5e2a83b884b9
9,http://data.europa.eu/esco/skill/54924a2c-daca-40d3-9716-4b38ceb04f38
9,http://data.europa.eu/esco/skill/6360a934-cc87-4954-9656-b32db20592e3
10,http://data.europa.eu/esco/skill/43ae58b9-5e56-4524-b45a-b422777a0576
10,http://data.europa.eu/esco/skill/c5e8abde-d2ba-4e8e-a65e-720b71180666
10,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43
10,http://data.europa.eu/esco/skill/ecc18804-a466-40d9-98b4-fba5cd67dd4b
10,http://data.europa.eu/esco/skill/7b0d5000-00da-4864-b776-6de49a87a669
10,http://data.europa.eu/esco/skill/ecc4552a-92c5-4222-b18d-faf5ac841080
10,http://data.europa.eu/esco/skill/e5d1f825-60ed-4bdd-872a-e748c387f777
10,http://data.europa.eu/esco/skill/598de5b0-5b58-4ea7-8058-a4bc4d18c742
10,http://data.europa.eu/esco/skill/edebd83d-35f6-4ed5-a940-6c203d178c01
10,http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7
10,http://data.europa.eu/esco/skill/1ffac4ac-fda7-407d-8ed1-ca8f4a8dc146
10,http://data.europa.eu/esco/skill/4da171e5-779c-4983-a76f-91c16751e99f
10,http://data.europa.eu/esco/skill/fff0e2cd-d0bd-4b02-9daf-158b79d9688a
11,http://data.europa.eu/esco/skill/26fa7a33-a426-4cd5-9792-33bf668612e1
11,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43
12,http://data.europa.eu/esco/skill/c3a03c5a-c260-4c26-9b9a-873abb396f4d
12,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43
12,http://data.europa.eu/esco/skill/f9a6f35b-01a7-40c9-8b61-b6ee46f97272
12,http://data.europa.eu/esco/skill/95c35c3a-035f-47c2-90cf-7e934d20fc08
12,http://data.europa.eu/esco/skill/26fa7a33-a426-4cd5-9792-33bf668612e1
12,http://data.europa.eu/esco/skill/3e40c7d0-0e36-4b33-bc33-0aa87eda0561
